127.0.0.1 - - [04/Mar/2019:21:34:15 +0800] "GET / HTTP/1.1" 404 1076
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/html/index.html HTTP/1.1" 200 52401
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/css/indexTitle.css HTTP/1.1" 200 743
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/img/logo.9bde9cc.png HTTP/1.1" 200 9109
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/img/search.svg HTTP/1.1" 200 1285
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/img/three.jpeg HTTP/1.1" 200 5838
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/img/weixin.png HTTP/1.1" 200 11129
127.0.0.1 - - [04/Mar/2019:21:34:38 +0800] "GET /Blog/html/img/proverb.jpg HTTP/1.1" 200 14820
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/UserServlet?status=1 HTTP/1.1" 200 85
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/ImgServlet HTTP/1.1" 200 764
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/VideoServlet?current=5 HTTP/1.1" 200 1786
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/LinkServlet?link=4 HTTP/1.1" 200 91
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/LogcatServlet?logcat=6 HTTP/1.1" 200 83
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/ArticleServlet?classfy=1 HTTP/1.1" 200 1469
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/html/img/jc.jpg HTTP/1.1" 200 64778
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/DataRecord?videoRecord=6&articleRecord=6 HTTP/1.1" 200 4043
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/ProverbServlet?current=2 HTTP/1.1" 200 505
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/LeaveMessageServlet?message=6 HTTP/1.1" 200 888
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/ArticleServlet?current=10 HTTP/1.1" 200 2358
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1087
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/userHeadPortrait/usepricture.jpeg HTTP/1.1" 200 1211
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/html/img/two.jpeg HTTP/1.1" 200 59732
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/html/img/one.jpeg HTTP/1.1" 200 27202
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/html/img/four.jpeg HTTP/1.1" 200 84147
127.0.0.1 - - [04/Mar/2019:21:34:39 +0800] "GET /Blog/html/img/five.jpeg HTTP/1.1" 200 5838
127.0.0.1 - - [04/Mar/2019:21:34:41 +0800] "GET /Blog/html/html/index.html HTTP/1.1" 304 -
127.0.0.1 - - [04/Mar/2019:21:34:41 +0800] "GET /Blog/html/css/indexTitle.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Mar/2019:21:34:41 +0800] "GET /Blog/html/img/search.svg HTTP/1.1" 304 -
127.0.0.1 - - [04/Mar/2019:21:34:41 +0800] "GET /Blog/html/img/weixin.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Mar/2019:21:34:41 +0800] "GET /Blog/html/img/logo.9bde9cc.png HTTP/1.1" 304 -
